DATE,IPG2211A2NQ
1997-01-01,89.3300
1997-04-01,75.6732
1997-07-01,85.0227
1997-10-01,82.8634
1998-01-01,88.6413
1998-04-01,79.4458
1998-07-01,90.5221
1998-10-01,83.3854
1999-01-01,93.5570
1999-04-01,81.5954
1999-07-01,92.5812
1999-10-01,84.7381
2000-01-01,93.6974
2000-04-01,84.6200
2000-07-01,94.2099
2000-10-01,90.0688
2001-01-01,98.4347
2001-04-01,84.2462
2001-07-01,93.4642
2001-10-01,85.1477
2002-01-01,95.9513
2002-04-01,87.0243
2002-07-01,97.9006
2002-10-01,90.9435
2003-01-01,101.5606
2003-04-01,86.1647
2003-07-01,98.6602
2003-10-01,91.7380
2004-01-01,103.7877
2004-04-01,89.3482
2004-07-01,97.4847
2004-10-01,93.1118
2005-01-01,102.6502
2005-04-01,89.8987
2005-07-01,104.5267
2005-10-01,94.9883
2006-01-01,100.1893
2006-04-01,91.5174
2006-07-01,104.8989
2006-10-01,94.1176
2007-01-01,106.3776
2007-04-01,93.4490
2007-07-01,106.4806
2007-10-01,96.6869
2008-01-01,106.5125
2008-04-01,94.1777
2008-07-01,104.0791
2008-10-01,96.8379
2009-01-01,104.9930
2009-04-01,89.8359
2009-07-01,100.2317
2009-10-01,95.1260
2010-01-01,107.8088
2010-04-01,92.4560
2010-07-01,107.2794
2010-10-01,97.3325
2011-01-01,107.1803
2011-04-01,92.7154
2011-07-01,107.7880
2011-10-01,95.6800
2012-01-01,101.3209
2012-04-01,92.4180
2012-07-01,105.2189
2012-10-01,95.0526
2013-01-01,106.4991
2013-04-01,92.5850
2013-07-01,104.4533
2013-10-01,99.1583
2014-01-01,112.0022
2014-04-01,93.0199
2014-07-01,104.2307
2014-10-01,98.5774
2015-01-01,111.6673
2015-04-01,92.8364
2015-07-01,106.5611
2015-10-01,93.7457
2016-01-01,104.1116
2016-04-01,92.2726
2016-07-01,108.9897
2016-10-01,97.6834
2017-01-01,104.2294
2017-04-01,91.4368
2017-07-01,104.0146
2017-10-01,100.3192
2018-01-01,111.8848
2018-04-01,96.2490
2018-07-01,109.1800
2018-10-01,102.1585
2019-01-01,111.5153
2019-04-01,93.5366
2019-07-01,109.7997
2019-10-01,101.1990
2020-01-01,105.2705
2020-04-01,91.0106
2020-07-01,108.3889
2020-10-01,99.2049
2021-01-01,109.8935
2021-04-01,93.5441
2021-07-01,108.8874
2021-10-01,99.1181
2022-01-01,114.5394
2022-04-01,96.6815
2022-07-01,110.1113
2022-10-01,104.2497
